year,month,prodloss
1977,o,18
1977,o,80.5
1977,n,21.5
1977,n,32.5
1977,d,42
1977,d,4
1978,j,32
1978,j,11
1978,f,16.5
1978,f,14.5
1978,m,21
1978,m,68
1978,a,9
1978,a,32
1978,m,6
1978,m,6
1978,j,15
1978,j,7
1978,j,13
1978,j,34
1978,a,8
1978,a,60.5
1978,s,31
1978,s,36
1978,o,83
1978,o,91
1978,n,51.5
1978,n,64
1978,d,33.5
1978,d,29.5
1979,j,72
1979,j,40
1979,f,28
1979,f,4
1979,m,46
1979,m,1.5
1979,a,9
1979,a,1.5
1979,m,5
1979,m,1.5
1979,j,7.5
1979,j,4
1979,j,3
1979,j,3
1979,a,9.5
1979,a,18
1979,s,12
1979,s,42.5
1979,o,33
1979,o,64
1979,n,37
1979,n,21
1979,d,39
1979,d,30
1980,j,29
1980,j,29
1980,f,13.5
1980,f,39
1980,m,15
1980,m,35
1980,a,9
1980,a,0
1980,m,12
1980,m,0
1980,j,20
1980,j,0
